Id,"Accession No","Copy No",Title,Authors,Co-authors,Editors,Illustrators,Publisher,Edition,Year,Volume,ISBN,ISBN13,ISSN,ASIN,LCCN,DDC,OCLC,UPC,"Call No",Category,Subject,Type,Description,Tags,Series,Branch,Price,Binding,Condition,Location,URL,"Is Active","Is Published","Circulation Enabled","Included Materials",Remarks
16414219,10158,1," F-One Momentum 816 Front Wing",F-One,,,,,,,,,,,,,,,,,"Foil Front Wings",,Book,,,,Main,,,,,,Yes,Yes,Yes,,
15018867,10001,1,"Chinook Boom 125cm-175cm",Chinook,,,,,,,,,,,,,,,,,"Windsurf Booms",Windsurfing,Other,,"Chinook,Windsurfing",,Main,,,,,,Yes,Yes,Yes,,
15018868,10002,1,"Chinook Boom 135-195cm",Chinook,,,,,,,,,,,,,,,,,"Windsurf Booms",Windsurfing,Other,,"Chinook,Windsurfing",,Main,,,,,,Yes,Yes,Yes,,
15018869,10003,1,"Chinook Boom 135cm - 185cm",Chinook,,,,,,,,,,,,,,,,,"Windsurf Booms",Windsurfing,Other,,"Chinook,Windsurfing",,Main,,,,,,Yes,Yes,Yes,,
15018870,10004,1,"Chinook Mast 340cm RDM",Chinook,,,,,,,,,,,,,,,,,"Windsurf Masts",Windsurfing,Other,,"Chinook,Windsurfing",,Main,,,,,,Yes,Yes,Yes,,
15018871,10005,1,"Chinook RDM Mast Extension",Chinook,,,,,,,,,,,,,,,,,"Windsurf Parts",Windsurfing,Other,,"Chinook,Windsurfing",,Main,,,,,,Yes,Yes,Yes,,
15018872,10006,1,"Core Choice 136",Core,,,,,,2024,,,,,,,,,,,Boards,,Other,,"Core, Boards, Kite Twin Tip",,Main,,,,,,Yes,Yes,Yes,,
15552205,10101,1,"Core Era 138cm",Core,,,,,,2025,,,,,,,,,,,Boards,,Other,,"Core, Boards,  Kite Twin Tip",,Main,,,,,,Yes,Yes,Yes,,
15018873,10007,1,"Core Halo Pro 3.0 ",Core,,,,,,,,,,,,,,,,,Wings,"Wing Foil",Other,"The Core Halo Pro Wing is Here!

Just one year after the start of the CORE wingfoil series the addition of the high performance wing Halo Pro follows. Using the highest quality materials and innovative construction, the Halo Pro allows you to perform completely new maneuvers and tricks. The Halo Pro harnesses the core strength of Aluula's high stiffness. This remarkable property, coupled with its lightweight design, allows for thinner strut diameters that maintain their shape even under heavy loads.

The continuous boom with its long grip surface not only makes familiar maneuvers more intuitive, but also makes new tricks possible. In the different canopy segments, the CoreTex 2 was sewn in the optimal running direction in order to achieve the highest performance. When paired with the Aluula airframe, this feature allows you to pump the Halo Pro more directly, giving you an enormous amount of lift and hang time as well as a maximum direct flight feeling.


Sizes: 3.0 | 4.0 | 5.0 | 6.0

Features:

ALUULA AIRFRAME: stiffest and lightest airframe material
CORETEX® 2 CANOPY: low-stretch, extremely robust with high
UV protection SPEED VALVE 2: ultra-fast inflating
DEFLATE VALVE: faster pack downs
CARBON BATTENS: provide optimal profile guidance
6 YEARS PARTS GUARANTEE: replacement parts availability for an average kite lifetime.","Core,Wing Foil",,Main,,,,,https://www.windance.com/products/core-halo-pro-wing?srsltid=AfmBOoqM7QdJs0Aq1HbR-fV8NTPcbY0eyVjgs5s7OU7KF0NP7jYn1rBM,Yes,Yes,Yes,,
15508835,10098,1,"CORE Halo Pro 4.0",Core,,,,,,,,,,,,,,,,,Wings,,Book,,"Core, Wing",,Main,,,,,,Yes,Yes,Yes,,
